Timestamp,Scenario_Attack,Scenario_Intensity,Metric1_Detection_Rate,Metric2a_False_Positives,Metric2b_False_Negatives,Metric3_Response_Time,Metric4_Network_Resilience,Metric4_Service_Availability,Metric5_Collab_Efficiency,Metric6_Victim_Peak_CPU,Metric7_Victim_Crashed,Raw_Overload_Cycles,Raw_Leakage_Count
2025-11-18 14:02:10,ddos,1,100%,0%,6 msgs (20.0%),3.082s,100.0%,5 Pings OK,High (Optimal Protection),22.0%,NO,0,6
2025-11-18 14:03:28,ddos,9,100%,0%,4 msgs (1.5%),3.152s,90.0%,1 Pings OK,Low (System Crash),100.0%,YES,1,4
2025-11-18 14:04:38,ddos,5,100%,0%,12 msgs (8.0%),3.090s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:05:45,ddos,7,100%,0%,11 msgs (5.2%),3.088s,100.0%,4 Pings OK,High (Optimal Protection),94.0%,NO,1,11
2025-11-18 14:15:44,ddos,1,100%,0%,6 msgs (20.0%),3.126s,100.0%,5 Pings OK,High (Optimal Protection),22.0%,NO,0,6
2025-11-18 14:16:56,ddos,1,100%,0%,6 msgs (20.0%),3.083s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:18:03,ddos,1,100%,0%,6 msgs (20.0%),3.115s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:19:19,ddos,1,100%,0%,6 msgs (20.0%),3.089s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:20:14,ddos,1,100%,0%,6 msgs (20.0%),3.095s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:22:18,ddos,1,100%,0%,6 msgs (20.0%),3.050s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:23:27,ddos,1,100%,0%,6 msgs (20.0%),3.012s,100.0%,5 Pings OK,High (Optimal Protection),22.0%,NO,0,6
2025-11-18 14:24:31,ddos,1,100%,0%,6 msgs (20.0%),3.059s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 14:25:25,ddos,1,100%,0%,6 msgs (20.0%),3.071s,100.0%,5 Pings OK,High (Optimal Protection),22.0%,NO,0,6
2025-11-18 14:26:47,ddos,3,100%,0%,12 msgs (13.3%),3.062s,100.0%,5 Pings OK,High (Optimal Protection),46.0%,NO,0,12
2025-11-18 14:28:44,ddos,3,100%,0%,12 msgs (13.3%),3.086s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:29:55,ddos,3,100%,0%,12 msgs (13.3%),3.047s,100.0%,5 Pings OK,High (Optimal Protection),46.0%,NO,0,12
2025-11-18 14:31:04,ddos,3,100%,0%,12 msgs (13.3%),3.031s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:32:00,ddos,3,100%,0%,12 msgs (13.3%),3.008s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:32:57,ddos,3,100%,0%,12 msgs (13.3%),3.092s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:34:00,ddos,3,100%,0%,12 msgs (13.3%),3.023s,100.0%,5 Pings OK,High (Optimal Protection),46.0%,NO,0,12
2025-11-18 14:34:56,ddos,3,100%,0%,12 msgs (13.3%),3.061s,100.0%,5 Pings OK,High (Optimal Protection),46.0%,NO,0,12
2025-11-18 14:36:11,ddos,3,100%,0%,12 msgs (13.3%),3.040s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:37:08,ddos,3,100%,0%,12 msgs (13.3%),3.034s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 14:38:39,ddos,5,100%,0%,12 msgs (8.0%),3.048s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:40:38,ddos,5,100%,0%,12 msgs (8.0%),3.081s,100.0%,5 Pings OK,High (Optimal Protection),55.0%,NO,0,12
2025-11-18 14:43:15,ddos,5,100%,0%,12 msgs (8.0%),3.030s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:45:04,ddos,5,100%,0%,12 msgs (8.0%),3.021s,100.0%,5 Pings OK,High (Optimal Protection),55.0%,NO,0,12
2025-11-18 14:45:58,ddos,5,100%,0%,12 msgs (8.0%),3.043s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:46:53,ddos,5,100%,0%,12 msgs (8.0%),3.047s,100.0%,5 Pings OK,High (Optimal Protection),55.0%,NO,0,12
2025-11-18 14:47:48,ddos,5,100%,0%,12 msgs (8.0%),3.047s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:48:52,ddos,5,100%,0%,12 msgs (8.0%),3.046s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:49:56,ddos,5,100%,0%,12 msgs (8.0%),3.037s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 14:51:29,ddos,7,100%,0%,12 msgs (5.7%),3.076s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 14:52:41,ddos,7,100%,0%,12 msgs (5.7%),3.032s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 14:53:42,ddos,7,100%,0%,12 msgs (5.7%),3.044s,100.0%,4 Pings OK,High (Optimal Protection),94.0%,NO,1,12
2025-11-18 14:54:40,ddos,7,100%,0%,12 msgs (5.7%),3.063s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 14:55:37,ddos,7,100%,0%,12 msgs (5.7%),3.092s,100.0%,4 Pings OK,High (Optimal Protection),94.0%,NO,1,12
2025-11-18 14:56:44,ddos,7,100%,0%,12 msgs (5.7%),3.060s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 14:57:39,ddos,7,100%,0%,12 msgs (5.7%),3.037s,100.0%,4 Pings OK,High (Optimal Protection),94.0%,NO,1,12
2025-11-18 14:58:46,ddos,7,100%,0%,12 msgs (5.7%),3.050s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 14:59:55,ddos,7,100%,0%,12 msgs (5.7%),3.037s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 15:00:55,ddos,9,100%,0%,12 msgs (4.4%),3.106s,100.0%,4 Pings OK,Medium (Service Degraded),91.0%,NO,5,12
2025-11-18 15:01:47,ddos,9,100%,0%,5 msgs (1.9%),3.041s,90.0%,1 Pings OK,Low (System Crash),100.0%,YES,2,5
2025-11-18 15:02:54,ddos,9,100%,0%,12 msgs (4.4%),3.028s,100.0%,4 Pings OK,Medium (Service Degraded),91.0%,NO,5,12
2025-11-18 15:03:57,ddos,9,100%,0%,12 msgs (4.4%),3.121s,100.0%,4 Pings OK,Medium (Service Degraded),91.0%,NO,6,12
2025-11-18 15:04:52,ddos,9,100%,0%,12 msgs (4.4%),3.085s,100.0%,4 Pings OK,Medium (Service Degraded),91.0%,NO,6,12
