Timestamp,Scenario_Attack,Scenario_Intensity,Metric1_Detection_Rate,Metric2a_False_Positives,Metric2b_False_Negatives,Metric3_Response_Time,Metric4_Network_Resilience,Metric4_Service_Availability,Metric5_Collab_Efficiency,Raw_Overload_Cycles,Raw_Leakage_Count
2025-11-18 13:04:24,ddos,1,100%,0%,6 msgs (20.0%),3.309s,100.0%,5 Pings OK,High (Optimal Protection),0,6
2025-11-18 13:05:40,ddos,2,100%,0%,6 msgs (10.0%),3.188s,100.0%,5 Pings OK,High (Optimal Protection),0,6
2025-11-18 13:08:20,ddos,4,100%,0%,12 msgs (10.0%),3.067s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:11:30,ddos,3,100%,0%,12 msgs (13.3%),3.200s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:12:36,ddos,5,100%,0%,12 msgs (8.0%),3.199s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:13:42,ddos,6,100%,0%,12 msgs (6.7%),3.089s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:14:59,ddos,7,100%,0%,12 msgs (5.7%),3.134s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:16:16,ddos,8,100%,0%,12 msgs (5.0%),3.117s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:17:28,ddos,9,100%,0%,11 msgs (4.1%),3.118s,90.0%,3 Pings OK,Low (System Crash),5,11
2025-11-18 13:18:33,ddos,9,100%,0%,12 msgs (4.4%),3.138s,100.0%,4 Pings OK,Medium (Service Degraded),5,12
2025-11-18 13:19:41,ddos,10,100%,0%,3 msgs (1.0%),3.540s,90.0%,1 Pings OK,Low (System Crash),1,3
2025-11-18 13:22:15,ddos,1,100%,0%,6 msgs (20.0%),3.021s,100.0%,5 Pings OK,High (Optimal Protection),0,6
2025-11-18 13:24:28,ddos,2,100%,0%,6 msgs (10.0%),3.188s,100.0%,5 Pings OK,High (Optimal Protection),0,6
2025-11-18 13:25:47,ddos,2,100%,0%,6 msgs (10.0%),3.096s,100.0%,5 Pings OK,High (Optimal Protection),0,6
2025-11-18 13:27:00,ddos,3,100%,0%,12 msgs (13.3%),3.084s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:29:33,ddos,4,100%,0%,12 msgs (10.0%),3.113s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:30:50,ddos,5,100%,0%,12 msgs (8.0%),3.124s,100.0%,5 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:32:16,ddos,6,100%,0%,12 msgs (6.7%),3.206s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:33:20,ddos,7,100%,0%,12 msgs (5.7%),3.318s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:34:30,ddos,8,100%,0%,11 msgs (4.6%),3.106s,90.0%,3 Pings OK,Low (System Crash),1,11
2025-11-18 13:35:41,ddos,9,100%,0%,12 msgs (4.4%),3.195s,100.0%,4 Pings OK,Medium (Service Degraded),5,12
2025-11-18 13:36:57,ddos,8,100%,0%,12 msgs (5.0%),3.130s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:38:31,ddos,7,100%,0%,12 msgs (5.7%),3.085s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:39:43,ddos,10,100%,0%,3 msgs (1.0%),3.069s,90.0%,1 Pings OK,Low (System Crash),1,3
2025-11-18 13:40:38,ddos,10,100%,0%,3 msgs (1.0%),3.171s,90.0%,1 Pings OK,Low (System Crash),1,3
2025-11-18 13:49:15,ddos,6,100%,0%,12 msgs (6.7%),3.133s,100.0%,4 Pings OK,High (Optimal Protection),0,12
2025-11-18 13:51:10,ddos,1,100%,0%,6 msgs (20.0%),3.109s,100.0%,5 Pings OK,High (Optimal Protection),0,6
