Timestamp,Scenario_Attack,Scenario_Intensity,Metric1_Detection_Rate,Metric2a_False_Positives,Metric2b_False_Negatives,Metric3_Response_Time,Metric4_Network_Resilience,Metric4_Service_Availability,Metric5_Collab_Efficiency,Metric6_Victim_Peak_CPU,Metric7_Victim_Crashed,Raw_Overload_Cycles,Raw_Leakage_Count
2025-11-18 17:48:51,ddos,1,100%,0%,6 msgs (20.0%),3.026s,100.0%,5 Pings OK,High (Optimal Protection),19.0%,NO,0,6
2025-11-18 17:50:33,ddos,3,100%,0%,12 msgs (13.3%),3.090s,100.0%,5 Pings OK,High (Optimal Protection),37.0%,NO,0,12
2025-11-18 17:51:27,ddos,5,100%,0%,12 msgs (8.0%),3.034s,100.0%,5 Pings OK,High (Optimal Protection),70.0%,NO,0,12
2025-11-18 17:52:41,ddos,7,100%,0%,12 msgs (5.7%),3.023s,100.0%,4 Pings OK,High (Optimal Protection),73.0%,NO,0,12
2025-11-18 17:55:26,ddos,9,100%,0%,12 msgs (4.4%),3.043s,90.0%,3 Pings OK,Low (System Crash),100.0%,YES,5,12
2025-11-18 17:59:26,ddos,2,100%,0%,6 msgs (10.0%),3.030s,100.0%,5 Pings OK,High (Optimal Protection),28.0%,NO,0,6
2025-11-18 18:00:24,ddos,4,100%,0%,12 msgs (10.0%),3.028s,100.0%,5 Pings OK,High (Optimal Protection),58.0%,NO,0,12
2025-11-18 18:01:20,ddos,6,100%,0%,12 msgs (6.7%),3.047s,100.0%,4 Pings OK,High (Optimal Protection),64.0%,NO,0,12
2025-11-18 18:02:35,ddos,8,100%,0%,12 msgs (5.0%),3.047s,100.0%,4 Pings OK,High (Optimal Protection),82.0%,NO,0,12
2025-11-18 18:03:31,ddos,10,100%,0%,3 msgs (1.0%),3.040s,90.0%,1 Pings OK,Low (System Crash),100.0%,YES,1,3
